Country,Season,Islander,Age,Hometown,Day Entered,Day Left,Status
UK,11,Jess Spencer,25,London,Day 29,Fourth place (Day 58),
UK,11,Jessy Potts,25,Leicester,Day 23,Dumped (Day 55),
UK,11,Joey Essex,33,Chigwell,Day 1,Dumped (Day 55),
UK,11,Grace Jackson,25,Manchester,Day 12,Dumped (Day 52),
UK,11,Reuben Collins,23,Chertsey,Day 36,Dumped (Day 52),
UK,11,Harry Baker,25,Birmingham,Day 44,Dumped (Day 49),
UK,11,Lola Deluca,22,Surrey,Day 44,Dumped (Day 49),
UK,11,Konnor Ewudzi,28,Cornwall,Day 17,Dumped (Day 44),
UK,11,"Lauren ""Lolly"" Hart",30,Loughborough,Day 39,Dumped (Day 44),
UK,11,Blade Siddiqi,29,Stevenage,Day 28,Dumped (Day 38),
UK,11,Emma Milton,30,Manchester,Day 29,Dumped (Day 38),
UK,11,Hugo Godfroy,24,Southampton,Day 28,Dumped (Day 38),
UK,11,Jess White,25,Stockport,Day 1,Dumped (Day 38),
UK,11,Uma Jammeh,23,Islington,Day 3,Walked (Day 37),
UK,11,Wil Anderson,23,Whitley Bay,Day 12,Dumped (Day 37),
UK,11,Ellie Jackson,22,Cardiff,Day 29,Dumped (Day 35),
UK,11,Trey Norman,24,Doncaster,Day 23,Dumped (Day 35),
UK,11,Diamanté Laiva,21,Beckenham,Day 29,Dumped (Day 31),
UK,11,Jake Spivey,25,Rayleigh,Day 28,Dumped (Day 31),
UK,11,Joel Kirby,22,Devon,Day 28,Dumped (Day 31),
UK,11,Lionel Awudu,24,Reading,Day 28,Dumped (Day 31),
UK,11,Lucy Graybill,26,Gourock,Day 29,Dumped (Day 31),
UK,11,Moziah Pinder,29,Brighton,Day 28,Dumped (Day 31),
UK,11,Ruby Dale,23,Surrey,Day 29,Dumped (Day 31),
UK,11,Harriett Blackmore,24,Brighton,Day 1,Dumped (Day 26),
UK,11,Ronnie Vint,27,Greenwich,Day 1,Dumped (Day 26),
UK,11,Omar Nyame,25,Croydon,Day 5,Dumped (Day 21),
UK,11,Tiffany Leighton,25,Royston,Day 12,Dumped (Day 21),
UK,11,Samantha Kenny,26,Liverpool,Day 1,Dumped (Day 16),
UK,11,Munveer Jabbal,30,Surbiton,Day 1,Dumped (Day 10),
UK,11,Patsy Field,29,Orpington,Day 1,Dumped (Day 10),
UK,11,Sam Taylor,23,Chesterfield,Day 1,Dumped (Day 2),
UK,12,"Antonia ""Toni"" Laites",24,"Connecticut, U.S.",Day 1,Winner (Day 58),
UK,12,"Cacherel ""Cach"" Mercer",24,East London,Day 29,Winner (Day 58),
UK,12,Harry Cooksley,30,Guildford,Day 1,Runner-up (Day 58),
UK,12,Shakira Khan,22,Burnley,Day 1,Runner-up (Day 58),
UK,12,Jamie Rhodes,26,Barking,Day 29,Third place (Day 58),
